AsofDate,Client,Strategy,Symbol,SecType,Contract,Short,Long,Source,Other,last_updated,id1,account
22/01/25 00:00,CITFUND,TAP_OPTIM,1661,Equity,1605 JP,0,1400,test,test,22/01/25 09:15,1859155,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1715,Equity,1911 JP,0,900,test,test,22/01/25 09:15,1859156,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2296,Equity,5713 JP,0,1600,test,test,22/01/25 09:15,1859157,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1348,Equity,6326 JP,0,2500,test,test,22/01/25 09:15,1859158,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3401,Equity,AA US,-734,0,test,test,22/01/25 09:15,1859159,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2079,Equity,AEM CN,0,500,test,test,22/01/25 09:15,1859160,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,31419,Equity,AESI US,0,561,test,test,22/01/25 09:15,1859161,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2449,Equity,AMS SJ,0,401,test,test,22/01/25 09:15,1859162,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3957,Equity,AWK US,-393,0,test,test,22/01/25 09:15,1859163,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1805,Equity,AWR US,0,400,test,test,22/01/25 09:15,1859164,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3665,Equity,BHP AU,-2675,0,test,test,22/01/25 09:15,1859165,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4936,Equity,BIR CN,-2200,0,test,test,22/01/25 09:15,1859166,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,93,Equity,BVN US,0,1607,test,test,22/01/25 09:15,1859167,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28820,Equity,BYND US,-9273,0,test,test,22/01/25 09:15,1859168,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3176,Equity,CALM US,-896,0,test,test,22/01/25 09:15,1859169,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3758,Equity,CDE US,0,2102,test,test,22/01/25 09:15,1859170,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3184,Equity,CENX US,0,1386,test,test,22/01/25 09:15,1859171,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28175,Equity,CHX US,0,533,test,test,22/01/25 09:15,1859172,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,5259,Equity,CVE CN,0,1200,test,test,22/01/25 09:15,1859173,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3515,Equity,DAR US,-1919,0,test,test,22/01/25 09:15,1859174,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,9952,Equity,DEG AU,0,8984,test,test,22/01/25 09:15,1859175,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1488,Equity,DVN US,-1124,0,test,test,22/01/25 09:15,1859176,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,743,Equity,EGO US,0,1872,test,test,22/01/25 09:15,1859177,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,106,Equity,ENI IM,-2535,0,test,test,22/01/25 09:15,1859178,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4934,Equity,EOG US,-261,0,test,test,22/01/25 09:15,1859179,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1930,Equity,FCX US,-1238,0,test,test,22/01/25 09:15,1859180,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2938,Equity,FMG AU,-5015,0,test,test,22/01/25 09:15,1859181,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3821,Equity,FRES LN,0,1372,test,test,22/01/25 09:15,1859182,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,862,Equity,FRU CN,0,1900,test,test,22/01/25 09:15,1859183,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3585,Equity,GFI US,0,739,test,test,22/01/25 09:15,1859184,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,10759,Equity,GOR AU,0,7375,test,test,22/01/25 09:15,1859185,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,31397,Equity,GPOR US,0,72,test,test,22/01/25 09:15,1859186,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3545,Equity,GPRK US,0,1498,test,test,22/01/25 09:15,1859187,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,442,Equity,HAL US,0,852,test,test,22/01/25 09:15,1859188,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,172,Equity,HBM CN,-8500,0,test,test,22/01/25 09:15,1859189,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,882,Equity,HBR LN,-2092,0,test,test,22/01/25 09:15,1859190,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,15120,Equity,KAR AU,0,15346,test,test,22/01/25 09:15,1859191,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,32621,Equity,KGS US,0,429,test,test,22/01/25 09:15,1859192,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28027,Equity,KNT CN,0,2300,test,test,22/01/25 09:15,1859193,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28159,Equity,LBRT US,0,735,test,test,22/01/25 09:15,1859194,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,10139,Equity,LTR AU,-1693,0,test,test,22/01/25 09:15,1859195,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4178,Equity,LUN CN,-5700,0,test,test,22/01/25 09:15,1859196,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,16903,Equity,MIN AU,-1875,0,test,test,22/01/25 09:15,1859197,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2212,Equity,MOS US,0,1034,test,test,22/01/25 09:15,1859198,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2040,Equity,NE US,0,568,test,test,22/01/25 09:15,1859199,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3336,Equity,NEM US,0,486,test,test,22/01/25 09:15,1859200,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,735,Equity,NOV US,0,875,test,test,22/01/25 09:15,1859201,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,26973,Equity,NTR CN,0,700,test,test,22/01/25 09:15,1859202,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2524,Equity,PBR US,-716,0,test,test,22/01/25 09:15,1859203,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2497,Equity,PE&OLES* MM,0,700,test,test,22/01/25 09:15,1859204,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4226,Equity,POU CN,0,1000,test,test,22/01/25 09:15,1859205,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,2350,Equity,RGLD US,0,89,test,test,22/01/25 09:15,1859206,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4107,Equity,RIG US,-442,0,test,test,22/01/25 09:15,1859207,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,44,Equity,RMS AU,-4884,0,test,test,22/01/25 09:15,1859208,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1276,Equity,SJW US,0,461,test,test,22/01/25 09:15,1859209,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,28529,Equity,SLR SM,0,1725,test,test,22/01/25 09:15,1859210,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,5367,Equity,SSRM CN,-60,0,test,test,22/01/25 09:15,1859211,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4394,Equity,STR US,0,798,test,test,22/01/25 09:15,1859212,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3270,Equity,TCW CN,0,3700,test,test,22/01/25 09:15,1859213,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,4791,Equity,TDW US,0,525,test,test,22/01/25 09:15,1859214,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3748,Equity,TSN US,-1291,0,test,test,22/01/25 09:15,1859215,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,3902,Equity,VTLE US,-1208,0,test,test,22/01/25 09:15,1859216,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1774,Equity,WCP CN,0,6500,test,test,22/01/25 09:15,1859217,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,1170,Equity,WPM US,0,184,test,test,22/01/25 09:15,1859218,EG
22/01/25 00:00,CITFUND,TAP_OPTIM,986,Equity,WTRG US,0,1851,test,test,22/01/25 09:15,1859219,EG
